Employee Name,Department,Position,Leave Type,Start Date,End Date,Days Taken,Total Leave Entitlement,Leave Taken So Far,Remaining Leaves,month
Richard Miller,Marketing,Marketing Specialist,Paternity Leave,16/03/2024,23/03/2024,8,30,15,7,Mar
Kyle Martinez,Operations,Logistics Coordinator,Maternity Leave,18/04/2024,18/04/2024,1,22,17,4,Apr
Thomas Preston,Marketing,Marketing Specialist,Casual Leave,11/04/2024,15/04/2024,5,28,12,11,Apr
Shawn Baker,HR,HR Manager,Casual Leave,10/05/2024,15/05/2024,6,28,6,16,May
Juan Foster,Finance,Accountant,Sick Leave,5/05/2024,11/05/2024,7,21,5,9,May
Nicholas Thompson,Finance,Accountant,Sick Leave,11/05/2024,12/05/2024,2,23,4,17,May
Shannon Lowe,HR,Recruiter,Sick Leave,4/02/2024,5/02/2024,2,21,17,2,Feb
Tiffany Cabrera,HR,Recruiter,Earned Leave,19/08/2024,25/08/2024,7,22,2,13,Aug
Benjamin Wood,HR,HR Manager,Sick Leave,16/11/2024,23/11/2024,8,24,2,14,Nov
Alexandra Campbell,IT,System Administrator,Maternity Leave,8/12/2024,13/12/2024,6,20,1,13,Dec
Andrew Mendez,Finance,Financial Analyst,Earned Leave,5/03/2024,13/03/2024,9,22,1,12,Mar
Francisco Hamilton,Marketing,SEO Analyst,Casual Leave,12/04/2024,20/04/2024,9,21,5,7,Apr
Eric Bates,Operations,Logistics Coordinator,Sick Leave,30/06/2024,7/07/2024,8,25,15,2,Jun
Jared Douglas,Operations,Logistics Coordinator,Sick Leave,27/12/2023,3/01/2024,8,26,9,9,Dec
Katie Stewart,HR,HR Manager,Sick Leave,30/05/2024,1/06/2024,3,26,3,20,May
Shannon Hanson,IT,System Administrator,Sick Leave,4/09/2024,11/09/2024,8,21,7,6,Sep
Patricia Simon,Operations,Operations Manager,Paternity Leave,16/10/2024,17/10/2024,2,29,1,26,Oct
Rhonda Gilbert,Finance,Financial Analyst,Paternity Leave,21/03/2024,24/03/2024,4,29,2,23,Mar
Shane Mcguire,Finance,Financial Analyst,Casual Leave,4/02/2024,12/02/2024,9,30,12,9,Feb
Jennifer Wiggins,Operations,Operations Manager,Paternity Leave,27/07/2024,4/08/2024,9,27,7,11,Jul
William Farrell,Operations,Logistics Coordinator,Earned Leave,26/09/2024,4/10/2024,9,30,20,1,Sep
Elizabeth Johnson,Marketing,SEO Analyst,Earned Leave,22/04/2024,1/05/2024,10,21,11,0,Apr
Amanda Thompson,HR,Recruiter,Earned Leave,31/01/2024,6/02/2024,7,27,13,7,Jan
Kristopher Estrada,Finance,Accountant,Earned Leave,2/01/2024,2/01/2024,1,22,7,14,Jan
Molly Vang,IT,System Administrator,Sick Leave,20/04/2024,21/04/2024,2,28,15,11,Apr
Brett Dickerson,HR,Recruiter,Maternity Leave,19/08/2024,19/08/2024,1,26,15,10,Aug
Leslie Henry,IT,Software Engineer,Earned Leave,8/12/2024,16/12/2024,9,22,5,8,Dec
William Abbott,HR,HR Manager,Paternity Leave,23/07/2024,26/07/2024,4,21,17,0,Jul
Randall Medina,Marketing,Marketing Specialist,Paternity Leave,26/01/2024,1/02/2024,7,23,15,1,Jan
Matthew Newman,Finance,Financial Analyst,Sick Leave,6/05/2024,15/05/2024,10,20,3,7,May
Annette Coleman,HR,Recruiter,Sick Leave,9/01/2024,15/01/2024,7,28,4,17,Jan
Natasha Garcia,HR,Recruiter,Paternity Leave,25/09/2024,1/10/2024,7,24,13,4,Sep
Lisa Rasmussen,Marketing,SEO Analyst,Maternity Leave,27/11/2024,29/11/2024,3,30,15,12,Nov
Jamie Moreno,IT,Software Engineer,Paternity Leave,22/06/2024,1/07/2024,10,30,16,4,Jun
Traci Frye,HR,Recruiter,Earned Leave,11/04/2024,13/04/2024,3,20,1,16,Apr
Rachel Branch,Finance,Accountant,Sick Leave,14/04/2024,22/04/2024,9,22,0,13,Apr
Ashley Norton,Marketing,SEO Analyst,Maternity Leave,1/02/2024,2/02/2024,2,28,19,7,Feb
